well,condition,replicate,group,CDW,Yx,Yp,µmax2,µmax,lag,r.c_µmax,strain,strain_type
A1,Glu_65,1,hexose,5.5074,0.08531916449086162,0.07430456655326108,0.16475132088860797,0.144312544228085,6.809065745965422,0.14162855190342713,CENPK7D,lab
A2,Glu_65,2,hexose,5.6548,0.08699692307692307,0.09957750582750582,0.15310155323902325,0.1451978875743547,6.796694734307487,0.05443375104628255,CENPK7D,lab
A3,Glu_65,3,hexose,5.319800000000001,0.08212700780572421,0.1141767851980341,0.1581469836899827,0.14624094028049406,7.036576958077663,0.08141388715535151,CENPK7D,lab
A4,Glu_30,1,hexose,3.4974000000000007,0.11835307984790877,0.2602114298882359,0.1740253404332922,0.14699019268643726,6.499266902247643,0.18392484051318259,CENPK7D,lab
A5,Glu_30,2,hexose,3.4036000000000004,0.11561847328244276,0.2468898189914411,0.16855678626736703,0.1412625820406204,6.455742985932803,0.1932160932673461,CENPK7D,lab
A6,Glu_30,3,hexose,3.3634,0.11253481203007519,0.32824960127591707,0.16720485106118307,0.1430554064401252,5.541556296114752,0.16881182768276176,CENPK7D,lab
A7,Xyl_36,1,pentose,1.0967900000000002,0.110823458803373,0.11118608235541022,0.11388167194416673,0.09947321626667548,6.056834936828562,0.1448475903188247,CENPK7D,lab
A8,Xyl_36,2,pentose,1.07267,0.19366773568899376,0.19200254192485486,0.1081885292589418,0.10239366386726635,6.231276135063984,0.056593984166709556,CENPK7D,lab
A9,Xyl_36,3,pentose,1.08607,0.15535234651237545,0.14344718886064114,0.10468043937032306,0.10273419253958102,6.661640702087975,0.01894448948914648,CENPK7D,lab
A10,Xyl_16,1,pentose,1.0478800000000001,0.1697259434508545,0.14287479526165145,0.11593575382277567,0.104966802501387,5.1317069254767365,0.10449924223655122,CENPK7D,lab
A11,Xyl_16,2,pentose,1.07267,0.21506562288803785,0.18340791333019313,0.13019944627397442,0.10297786605500699,5.395228928920132,0.2643439921781509,CENPK7D,lab
A12,Xyl_16,3,pentose,1.10952,0.2224037837837838,0.15356478637728638,0.16612732825777468,0.0992057786862896,5.241086655209775,0.6745730990440151,CENPK7D,lab
B1,Gal_4.5,1,hexose,1.1678100000000002,0.26262593703148435,0.1632351437917405,0.12665741750890883,0.09401273881594929,10.716736323436974,0.34723675859362746,CENPK7D,lab
B2,Gal_4.5,2,hexose,1.0713300000000001,0.240352228537242,0.1760165406684252,0.12588089444667433,0.09589008680028793,10.807691858395337,0.31276233703749595,CENPK7D,lab
B3,Gal_4.5,3,hexose,1.09813,0.2457766338406446,0.21936294457556768,0.1307822787502355,0.09369590295315164,10.795910082877297,0.3958164084893573,CENPK7D,lab
B4,Gal_2,1,hexose,0.76916,0.39729338842975204,0.06001713936889556,0.12214609349931851,0.08995605394934554,10.43287910991623,0.35784183650495893,CENPK7D,lab
B5,Gal_2,2,hexose,0.7658100000000001,0.39997040389972155,0.06417269403646493,0.11691490528602522,0.09059193751644029,10.525771435698884,0.2905663405731656,CENPK7D,lab
B6,Gal_2,3,hexose,0.77251,0.39683732876712335,0.06360425747198008,0.11605304337764574,0.09068469237701841,10.517094351124522,0.2797423725622766,CENPK7D,lab
B7,Ara_4,1,pentose,0.5829000000000001,0.11668488529014846,0.2699396120448752,0.14279068898713712,0.03769114672982674,4.238663618548779,2.788441089645603,CENPK7D,lab
B8,Ara_4,2,pentose,0.57352,0.11472978197347719,0.2417209859893609,0.14266368966626533,0.04145801478473086,3.9865921337477204,2.441160663554226,CENPK7D,lab
B9,Ara_4,3,pentose,0.55409,0.1109177013045434,0.23761889304652456,0.14181505370378067,0.03486858490401322,4.496173753693846,3.067129598008389,CENPK7D,lab
B10,Ara_2,1,pentose,1.17652,0.23572778027915356,0.23859180788069806,0.13321579481749557,0.11618797387402907,5.649083589049681,0.14655407419298017,CENPK7D,lab
B11,Ara_2,2,pentose,1.16111,0.23258786855728114,0.26699195704513057,0.12300795716020986,0.11161165298993884,5.658827418218534,0.10210675915084177,CENPK7D,lab
B12,Ara_2,3,pentose,1.2086800000000002,0.24206237623762378,0.25100130751711536,0.15603269388726182,0.11388444565349903,5.569989831931062,0.3700966184794157,CENPK7D,lab
C1,Man_16,1,hexose,0.51322,0.03975647887323944,0.06007921126760563,0.1601496341588045,0.029263526982453488,13.019078502273915,4.472670271592032,CENPK7D,lab
C2,Man_16,2,hexose,0.57486,0.043791274238227144,0.07830537396121882,0.1683362810331988,0.029491525883385283,14.359976432998229,4.707954267908358,CENPK7D,lab
C3,Man_16,3,hexose,0.55074,0.041953878116343483,0.0652124030470914,0.17130168936310838,0.03063068339704791,14.556109013680677,4.592486695207652,CENPK7D,lab
C4,Man_10,1,hexose,2.8676000000000004,0.2899227941176471,0.009966727941176472,0.15507554035103138,0.12371240310107566,7.224263662384995,0.2535165146240945,CENPK7D,lab
C5,Man_10,2,hexose,2.8341,0.28548626373626373,0.009539075091575092,0.1519416983414494,0.11444735538516211,7.537414280627889,0.3276121394863474,CENPK7D,lab
C6,Man_10,3,hexose,3.0619000000000005,0.3061900000000001,0.013200799999999999,0.14863549752826116,0.12463447422322096,7.523617453493079,0.19257130464605038,CENPK7D,lab
C7,EtOH_90,1,alcohol,0,0,0,0,0,0,NA,CENPK7D,lab
C8,EtOH_90,2,alcohol,0,0,0,0,0,0,NA,CENPK7D,lab
C9,EtOH_90,3,alcohol,0,0,0,0,0,0,NA,CENPK7D,lab
C10,EtOH_45,1,alcohol,1.3614400000000002,0.06845658757062148,0,0.13700326871763677,0.07670016117549384,16.715119379832643,0.7862187851752536,CENPK7D,lab
C11,EtOH_45,2,alcohol,1.36546,0.06944339428571428,0,0.13545381395651032,0.0780485793453295,16.70948998137144,0.7355064639573867,CENPK7D,lab
C12,EtOH_45,3,alcohol,1.2998,0.06499,0,0.12968954489366766,0.07891019360195213,16.177544088797923,0.6435081321414895,CENPK7D,lab
D1,NaCl_80,1,salt,0.32428,0.03748171428571428,0.08975304998032267,0.09730459158287516,0.028169524720693295,24.312034715286472,2.4542503839759617,CENPK7D,lab
D2,NaCl_80,2,salt,0.32428,0.04307599999999999,0.1232127713704206,0.09870054417362353,0.026842036939193188,24.345031823641897,2.6770884563349484,CENPK7D,lab
D3,NaCl_80,3,salt,0.25862,0.04110210714285713,0.15019954004328998,0.10067169187674987,0.023783144792222526,24.359034954990086,3.232900768853375,CENPK7D,lab
D4,NaCl_25,1,salt,1.2723300000000002,0.0636165,0.06245265151515152,0.1718496843643196,0.12044221699924645,7.930264635554435,0.4268226594118139,CENPK7D,lab
D5,NaCl_25,2,salt,1.25625,0.06352627840909092,0.06364120609504131,0.17312721599255512,0.11641210960942427,8.08817850764268,0.4871924971844975,CENPK7D,lab
D6,NaCl_25,3,salt,1.25625,0.0646278901734104,0.06282049176738483,0.1652329077669024,0.11513815559086112,8.090234996186652,0.4350838513867722,CENPK7D,lab
D7,FrAcid_3.5,1,acid,1.02443,0.051221499999999996,0.057836174242424244,0.14797787242226335,0.1208784369873189,7.952197156921604,0.22418750697270673,CENPK7D,lab
D8,FrAcid_3.5,2,acid,0.9989700000000001,0.0505160965909091,0.06301868112947659,0.14237318570218985,0.12309892783144748,7.609114226628404,0.1565753513071498,CENPK7D,lab
D9,FrAcid_3.5,3,acid,0.90651,0.04690662209302326,0.07318176312544045,0.1388073665326034,0.12360640708092281,7.567687208481776,0.12297873395615162,CENPK7D,lab
D10,FrAcid_1,1,acid,1.11756,0.05816540350877194,0.06934642477405636,0.15665800906061178,0.13562719045346228,6.671042600679068,0.15506343924720467,CENPK7D,lab
D11,FrAcid_1,2,acid,1.13565,0.057755914285714284,0.06171726190476191,0.16001371811372045,0.1336783934019708,6.84863020899934,0.19700509589877668,CENPK7D,lab
D12,FrAcid_1,3,acid,1.17585,0.061199210526315787,0.06086910774410773,0.15417252280906624,0.1338596344614964,6.671864616150654,0.1517476753114298,CENPK7D,lab
E1,AcAcid_6,1,acid,0.9292900000000001,0.046464500000000006,0.05561079545454546,0.16893025331874517,0.11770926616844211,8.096114406511637,0.4351483007039204,CENPK7D,lab
E2,AcAcid_6,2,acid,0.9507300000000001,0.04780506779661017,0.05956760400616332,0.17526948419446173,0.12153567898168484,8.246310945676203,0.44212370937487794,CENPK7D,lab
E3,AcAcid_6,3,acid,0.9648,0.04824,0.060866477272727273,0.1782865138743958,0.12019775821671792,8.1952609141389,0.48327653127226555,CENPK7D,lab
E4,AcAcid_4.5,1,acid,0.938,0.0469,0.06486742424242424,0.1772390092175207,0.12812449546339844,7.294709199210042,0.38333429978776307,CENPK7D,lab
E5,AcAcid_4.5,2,acid,0.94537,0.04807881714285714,0.07274594155844155,0.17866660587306973,0.1269681743623704,7.3939436849337135,0.4071763004416421,CENPK7D,lab
E6,AcAcid_4.5,3,acid,0.94738,0.047369,0.07133049242424243,0.17581812834049862,0.12737499974310473,7.398142082436895,0.3803189691469757,CENPK7D,lab
E7,LacAcid_7,1,acid,2.8944000000000005,0.1497683720930233,0.07075625440451021,0.1845456391406999,0.14632725556682363,6.3852557687668625,0.26118431201235093,CENPK7D,lab
E8,LacAcid_7,2,acid,2.7537,0.1416643352601156,0.06123719127693117,0.17578021066063182,0.14581832304665177,6.578183440655271,0.20547409261039384,CENPK7D,lab
E9,LacAcid_7,3,acid,2.3919,0.1216452,0.06547375541125541,0.1798531982514292,0.14360812024455286,6.600425345518486,0.2523887781913303,CENPK7D,lab
E10,LacAcid_2,1,acid,2.5929,0.13111823863636365,0.06404824164944904,0.187808691684865,0.14681211138230316,6.413171309795311,0.27924521973398714,CENPK7D,lab
E11,LacAcid_2,2,acid,2.8876999999999997,0.14602573863636364,0.06440739066804409,0.1797422997172718,0.14756900486778185,6.384894524491704,0.2180220357135051,CENPK7D,lab
E12,LacAcid_2,3,acid,3.0619000000000005,0.20802221374045807,0.08292924473745086,0.18650342627058256,0.14414052768384486,6.323579265850963,0.29389998265897627,CENPK7D,lab
F1,LevAcid_5,1,acid,0.99294,0.05021117045454546,0.06232432636019284,0.16796524210847255,0.12383924372979525,7.182241605242792,0.3563167623581082,CENPK7D,lab
F2,LevAcid_5,2,acid,1.01505,0.0507525,0.06285511363636363,0.1717053747135252,0.12668868726222546,7.227235349031903,0.3553331274016784,CENPK7D,lab
F3,LevAcid_5,3,acid,1.00567,0.0502835,0.06709280303030303,0.17526135865416703,0.12604060215386786,7.248465403989433,0.3905150852914162,CENPK7D,lab
F4,LevAcid_2.5,1,acid,1.1423500000000002,0.05711750000000001,0.06055871212121211,0.18358579794118357,0.1353226782413616,6.820014798054891,0.35665211719900963,CENPK7D,lab
F5,LevAcid_2.5,2,acid,1.14168,0.05806258285714285,0.06723160173160171,0.18052768535704633,0.13489523727394145,6.8780782129436195,0.33828064656156676,CENPK7D,lab
F6,LevAcid_2.5,3,acid,1.1577600000000001,0.05788800000000001,0.06477272727272726,0.17481958055099708,0.13526961059683124,6.912607039263725,0.29237882610635924,CENPK7D,lab
F7,HMF_6,1,aldehyde,0,0,0,0.09505524599244854,0,0,Inf,CENPK7D,lab
F8,HMF_6,2,aldehyde,0,0,0,0.08829858231643342,0,0,Inf,CENPK7D,lab
F9,HMF_6,3,aldehyde,0,0,0,0.005774352447256529,0,0,Inf,CENPK7D,lab
