well,condition,replicate,group,CDW,Yx,Yp,µmax2,µmax,lag,r.c_µmax,strain,strain_type
A1,Glu_65,1,hexose,6.1425,0.09534299732381801,0.08320712417617271,0.16475132088860797,0.15675490774131753,3.9066609345555445,0.051012202823572196,ETRED,ind
A2,Glu_65,2,hexose,7.3899,0.1153222062780269,0.07973976616925044,0.15310155323902325,0.15809710195781854,4.302405481343635,-0.03159797780561555,ETRED,ind
A3,Glu_65,3,hexose,6.1236,0.09539000895255148,0.08658882520836356,0.1581469836899827,0.15301766113805398,4.474299146362772,0.033521114581022075,ETRED,ind
A4,Glu_30,1,hexose,3.9501,0.13691581673306774,0.1801004527558133,0.1740253404332922,0.147512016291863,3.5999580558916686,0.17973670761147154,ETRED,ind
A5,Glu_30,2,hexose,3.3516000000000004,0.11663568000000002,0.1986232849862799,0.16855678626736703,0.1452575266838843,3.924760680084522,0.16039967164102675,ETRED,ind
A6,Glu_30,3,hexose,3.0681000000000003,0.10634450199203187,0.19436718043545145,0.16720485106118307,0.13895441644907242,4.083170841579762,0.20330720918442058,ETRED,ind
A7,Xyl_36,1,pentose,1.8900000000000001,0.1674823374998719,0.04224062405236751,0.11388167194416673,0.09122772415063955,3.287212611774161,0.24832306192490242,ETRED,ind
A8,Xyl_36,2,pentose,1.953,0.17980344781299748,0.045834134445335,0.1081885292589418,0.0972628908009818,3.480717598736025,0.11233100690288879,ETRED,ind
A9,Xyl_36,3,pentose,1.7325,0.32535529420968223,0.10339413866898783,0.10468043937032306,0.10023014632360809,3.6277582650484588,0.044400743787667764,ETRED,ind
A10,Xyl_16,1,pentose,1.9026,0.3283318729507051,0.08834831480757353,0.11593575382277567,0.10269722591224395,2.9049143389692156,0.12890833021959333,ETRED,ind
A11,Xyl_16,2,pentose,2.0034,0.4019737084870849,0.09796326525593756,0.13019944627397442,0.11183708802030756,3.3840003293600023,0.16418845106493288,ETRED,ind
A12,Xyl_16,3,pentose,1.9908000000000001,0.39972213247172866,0.09771625830518758,0.16612732825777468,0.1181901405086516,3.4725491472269225,0.4055937960883805,ETRED,ind
