well,condition,replicate,group,CDW,Yx,Yp,µmax2,µmax,lag,r.c_µmax,strain,strain_type
A1,Glu_65,1,hexose,6.39,0.0983076923076923,0.16987930102684198,0.08300364838335354,0.10183999289220534,6.57524407778845,-0.18496019072575465,PE2,ind
A2,Glu_65,2,hexose,4.800000000000001,0.07435033070194155,0.2628162304525598,0.08672826906889755,0.10563362226136733,6.694435945971721,-0.178970982796487,PE2,ind
A3,Glu_65,3,hexose,4.8825,0.07511538461538463,0.2664384795532337,0.08504878882875926,0.10274262613225885,6.687023244886095,-0.1722151551851771,PE2,ind
A4,Glu_30,1,hexose,3.7350000000000003,0.13124927395934174,0.3090212677202664,0.07494746984118038,0.11082138976626998,5.131864846306727,-0.32370934889690695,PE2,ind
A5,Glu_30,2,hexose,3.6825,0.12743064823641564,0.2933673868053215,0.07714440776786857,0.1119590594695514,5.196968772467388,-0.310958772489073,PE2,ind
A6,Glu_30,3,hexose,4.297499999999999,0.1470303958529689,0.28003385962162874,0.0731642545477857,0.10639287892131001,5.129923588764252,-0.3123200040305401,PE2,ind
A7,Xyl_36,1,pentose,1.1595,0.23230958163152665,0.2543125433503447,0.06015444483116836,0.06647554843431293,5.0215938383346455,-0.09508915311004465,PE2,ind
A8,Xyl_36,2,pentose,1.17525,0.1494674519136184,0.2758033154976955,0.06530953912230159,0.07154504255965782,5.820128251565531,-0.08715493365115778,PE2,ind
A9,Xyl_36,3,pentose,1.22325,0.24502800463524996,0.43955397802094415,0.06392185815766045,0.07216697538790483,5.159029389505779,-0.11425055831876052,PE2,ind
A10,Xyl_16,1,pentose,1.23225,0.1667604738129584,0.25021800256918625,0.07245465333872254,0.07620427527751805,5.446949512455077,-0.0492048763030718,PE2,ind
A11,Xyl_16,2,pentose,1.21425,0.24360160826793414,0.24830711022764543,0.07096056641338551,0.0828717452818923,4.4469900449510424,-0.14373027656157514,PE2,ind
A12,Xyl_16,3,pentose,1.24875,0.2512450116395078,0.21745318690424917,0.0698637650585123,0.07395294748579916,5.606296888921597,-0.05529438063401168,PE2,ind
B1,Gal_4.5,1,hexose,1.362,0.30632648125755746,0.3126081403679675,0.1065561044611582,0.095364224223494,5.309782788990262,0.1173593171736509,PE2,ind
