well,condition,replicate,group,CDW,Yx,Yp,µmax2,µmax,lag,r.c_µmax,strain,strain_type
A1,Glu_65,1,hexose,2.9499999999999997,0.04538461538461538,0.10737793496414187,0.13609083070237762,0.14391590635929244,5.733553628403257,-0.05437255585480014,Redstar,ind
A2,Glu_65,2,hexose,2.6491,0.041033895216400905,0.10712259663638188,0.14552396964080153,0.1502421794437475,6.075359433549853,-0.03140402928401685,Redstar,ind
A3,Glu_65,3,hexose,3.4692,0.05349333333333332,0.11402159842225525,0.1456533436573692,0.15037257332145681,6.015437887764059,-0.03138357986332484,Redstar,ind
A4,Glu_30,1,hexose,3.8173000000000004,0.12978820000000002,0.21635376756066413,0.1545728383690626,0.14120940864115836,5.596017639628477,0.09463554770534748,Redstar,ind
A5,Glu_30,2,hexose,5.1152999999999995,0.17219821782178216,0.21335179494960987,0.1603768333539413,0.14644029799111974,5.500518606741361,0.09516871758664867,Redstar,ind
A6,Glu_30,3,hexose,3.3158000000000003,0.11107113300492612,0.21722061793405428,0.14739647189735353,0.14015514519615493,5.5504093682334465,0.051666506363815264,Redstar,ind
A7,Xyl_36,1,pentose,1.1080199999999998,0.2222576991150442,0.14134804115477495,0.10626288461273833,0.10055033024708594,5.29308505964229,0.05681288516521753,Redstar,ind
A8,Xyl_36,2,pentose,1.04548,0.2102088704908338,0.15407238229889594,0.11255121597349249,0.10154243543932591,5.36339650296766,0.10841556524163336,Redstar,ind
A9,Xyl_36,3,pentose,0.885,0.17746977292833974,0.1570568626365411,0.11447329598975994,0.1021238246817247,5.4166253249556755,0.12092644734490837,Redstar,ind
A10,Xyl_16,1,pentose,1.05728,0.21251859296482414,0.08388044950165902,0.11862089394641467,0.10139376035912913,5.100414033867514,0.16990329115192418,Redstar,ind
A11,Xyl_16,2,pentose,0.88264,0.17836410104011888,0.05852068187468095,0.11689621542876286,0.10260933148913345,4.914731198377559,0.13923571796335515,Redstar,ind
A12,Xyl_16,3,pentose,0.8318999999999999,0.16701860053144374,0.07012764981876088,0.11893461440200706,0.10142429915201603,5.231681917159224,0.17264418286732594,Redstar,ind
B1,Gal_4.5,1,hexose,0.86435,0,0,0.11547773845160421,0.10995059112626962,8.345364204356574,0.05026937344054016,Redstar,ind
B2,Gal_4.5,2,hexose,0.9481299999999999,2.3686846366782053,1.7716019921604016,0.11560244335552576,0.11312493537723965,8.623695596130366,0.021900635523232084,Redstar,ind
B3,Gal_4.5,3,hexose,1.01362,0,0,0.11894055356426858,0.1120671996840855,8.429834355134272,0.06133243178698926,Redstar,ind
B4,Gal_2,1,hexose,0.68263,0,0,0.11545931081489715,0.10396815606518657,8.046028025356584,0.11052571464772139,Redstar,ind
B5,Gal_2,2,hexose,0.6802699999999999,0,0,0.11253486516491223,0.10466745029241291,8.004590849166354,0.07516582137541203,Redstar,ind
B6,Gal_2,3,hexose,0.77821,0,0,0.11459902016247027,0.10531493056241162,8.132258661113166,0.0881554927727624,Redstar,ind
B7,Ara_4,1,pentose,0.30267,0.03400162988880697,0.09401034068244632,0.02880429964632362,0.04218210356439268,13.989217681430484,-0.31714406792556704,Redstar,ind
B8,Ara_4,2,pentose,0.27022,0.030857524151212998,0.10949068346525441,0.03649617400781725,0.04251379948228621,14.19251131353848,-0.14154522879038978,Redstar,ind
B9,Ara_4,3,pentose,0.28202,0.03197323243810016,0.09418726270323372,0.03608809247642148,0.04039126669120812,13.739206057617126,-0.10653724350079129,Redstar,ind
B10,Ara_2,1,pentose,1.8584999999999998,0.2682868628562593,0.05825888416624178,0.12495253882809416,0.11241532822162743,4.7509038460539,0.11152581062388175,Redstar,ind
B11,Ara_2,2,pentose,1.7168999999999996,0.2519435829117144,0.06175213216892659,0.12669140024796666,0.10750914138946963,4.737056677996291,0.17842444475494534,Redstar,ind
