well,condition,replicate,group,CDW,Yx,Yp,µmax2,µmax,lag,r.c_µmax,strain,strain_type
A1,Glu_65,1,hexose,3.762000000000001,0.058034250764526014,0.09926939160536355,0.15530180534009896,0.14500946150019983,5.2249111595017546,0.070977050279474,Thermosacc,ind
A2,Glu_65,2,hexose,3.9930000000000003,0.06159775739041795,0.10971147347128536,0.1599814034306071,0.15152807397697232,5.729313613178465,0.055787216400041015,Thermosacc,ind
A3,Glu_65,3,hexose,4.3340000000000005,0.06704040885860307,0.10749758608601528,0.16001602510773794,0.1535639486941974,5.649920989741745,0.04201556725002563,Thermosacc,ind
A4,Glu_30,1,hexose,3.3000000000000003,0.11064992614475629,0.22474568377868673,0.17459897807955574,0.1507585724405668,5.3628010725935225,0.15813631857244784,Thermosacc,ind
A5,Glu_30,2,hexose,2.8875,0.09625,0.20597673485760126,0.171578109723638,0.14797693231006595,5.117305360775569,0.15949227386413792,Thermosacc,ind
A6,Glu_30,3,hexose,3.179,0.10596666666666667,0.22954271961492184,0.1740886137808597,0.14963648339136745,5.437583409173753,0.16341021811865772,Thermosacc,ind
A7,Xyl_36,1,pentose,0.8723000000000001,0.19079986509924843,0.20754528173199857,0.12126844577301014,0.10375300562769466,5.018809179762299,0.1688186288131986,Thermosacc,ind
A8,Xyl_36,2,pentose,0.7991500000000001,0.16011213592233012,0.2002324956480086,0.11928023433421092,0.10262319319911045,5.047167711499084,0.16231263728835962,Thermosacc,ind
A9,Xyl_36,3,pentose,0.8734000000000001,0.17511199434728847,0.19416129869517001,0.12483948375568629,0.10386318205136731,5.13011348093008,0.20196089981091464,Thermosacc,ind
A10,Xyl_16,1,pentose,0.9768000000000001,0.1957739713932545,0.14097197740818918,0.1310733076965142,0.10309399901333019,4.696535511393017,0.27139609435042145,Thermosacc,ind
A11,Xyl_16,2,pentose,0.87285,0.17481643726839596,0.1372572690032886,0.12625783279081756,0.09907881586966939,4.598757824731293,0.2743171351270497,Thermosacc,ind
A12,Xyl_16,3,pentose,0.8371000000000001,0.17532911976379406,0.15015497906039477,0.12003645803200677,0.09616628091640382,4.2434077381581226,0.2482177421039398,Thermosacc,ind
B1,Gal_4.5,1,hexose,0.8701000000000001,0.20302333333333336,0.1658744484556759,0.11683303639395415,0.09998221174948649,8.847240101940361,0.16853822644660796,Thermosacc,ind
B2,Gal_4.5,2,hexose,0.9223500000000001,0.21111008174386925,0.16546493670014464,0.1205315086318977,0.10818142029159401,8.678089556499845,0.11416090033773867,Thermosacc,ind
B3,Gal_4.5,3,hexose,0.99495,0.2211,0.14901724829522667,0.1178465786240665,0.10709803366337116,7.98216677785886,0.10036173954864566,Thermosacc,ind
B4,Gal_2,1,hexose,0.6473500000000001,0.3377478260869566,0.052064040182075035,0.11387209229241012,0.10521297281127906,7.915014431261697,0.08230087269431077,Thermosacc,ind
B5,Gal_2,2,hexose,0.6017000000000001,0.31393043478260874,0.05200125568984461,0.1149061282789668,0.0987697104290333,7.933628763317759,0.16337415367363683,Thermosacc,ind
B6,Gal_2,3,hexose,0.6644,0.3403024390243902,0.05101919521000265,0.11744027405155233,0.09733954309836816,8.107760122938505,0.20650118454810318,Thermosacc,ind
B7,Ara_4,1,pentose,0.33495,0.0670845685547909,0.1993182817659696,0.04193971303857295,0.03807510392719471,15.803869074956612,0.10149963395419612,Thermosacc,ind
B8,Ara_4,2,pentose,0.2937,0.05880216969483155,0.19997074893137018,0.04314052070223411,0.03849879719122249,15.441072018304656,0.12056801379940019,Thermosacc,ind
B9,Ara_4,3,pentose,0.33165,0.06633,0.19909747292418775,0.046408411551059334,0.03920948326533882,15.895876369549594,0.18360171280513582,Thermosacc,ind
B10,Ara_2,1,pentose,1.1396000000000002,0.22840296662546358,0.19710752529827646,0.13598748240146377,0.11292266401114665,4.498374975388495,0.2042532258009817,Thermosacc,ind
B11,Ara_2,2,pentose,1.10495,0.22114587374360786,0.17400953316438206,0.13511914555846055,0.10750531381533364,4.578912398994409,0.2568601566110522,Thermosacc,ind
B12,Ara_2,3,pentose,1.09945,0.224640099009901,0.17038996318404406,0.13565133583072309,0.10909899497710263,4.4301393540478164,0.2433784184647456,Thermosacc,ind
C1,Man_16,1,hexose,0.5010500000000001,0.03357179394812681,0.06694240992935842,0.055340467900199156,0.04609768794337474,15.323222248496688,0.20050419813197617,Thermosacc,ind
C2,Man_16,2,hexose,0.48950000000000005,0.039482653946227235,0.08063488435442309,0.054373518451158516,0.04605270267131899,15.25199410253742,0.18068029229957924,Thermosacc,ind
C3,Man_16,3,hexose,0.38445,0.02662237527922562,0.06476891812338884,0.05058740140824723,0.04307648785862857,14.293366016446193,0.17436225474714898,Thermosacc,ind
C4,Man_10,1,hexose,2.1725000000000003,0.21725000000000003,0.06841155234657041,0.15243588135797942,0.14206560728108922,6.5369703350678545,0.0729963731219739,Thermosacc,ind
C5,Man_10,2,hexose,1.9635,0.21738749999999998,0.07893888602372356,0.14230281445259302,0.1413119295404681,6.474812381618368,0.007012040068713128,Thermosacc,ind
C6,Man_10,3,hexose,2.2275000000000005,0.22275000000000006,0.08715403128760531,0.15351874958554207,0.14323559983919382,6.316789562327631,0.071791857316846,Thermosacc,ind
